president,year,majortopic
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,5
George W. Bush,2004,3
George W. Bush,2004,5
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,5
George W. Bush,2004,5
George W. Bush,2004,5
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,6
George W. Bush,2004,5
George W. Bush,2004,5
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,15
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,15
George W. Bush,2004,8
George W. Bush,2004,18
George W. Bush,2004,13
George W. Bush,2004,13
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,1
George W. Bush,2004,9
George W. Bush,2004,5
George W. Bush,2004,5
George W. Bush,2004,12
George W. Bush,2004,9
George W. Bush,2004,5
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,3
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,2
George W. Bush,2004,13
George W. Bush,2004,13
George W. Bush,2004,13
George W. Bush,2004,13
George W. Bush,2004,13
George W. Bush,2004,13
George W. Bush,2004,12
George W. Bush,2004,12
George W. Bush,2004,12
George W. Bush,2004,12
George W. Bush,2004,12
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,16
George W. Bush,2004,16
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2004,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,0
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,6
George W. Bush,2005,6
George W. Bush,2005,5
George W. Bush,2005,6
George W. Bush,2005,15
George W. Bush,2005,15
George W. Bush,2005,12
George W. Bush,2005,3
George W. Bush,2005,3
George W. Bush,2005,8
George W. Bush,2005,8
George W. Bush,2005,7
George W. Bush,2005,8
George W. Bush,2005,8
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,1
George W. Bush,2005,9
George W. Bush,2005,9
George W. Bush,2005,9
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
George W. Bush,2005,13
