Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,April,19,Thursday,ABC,2,7,12
2001,April,19,Thursday,CBS,1,17,12
2001,April,19,Thursday,CBS,2,19,12
2001,April,19,Thursday,NBC,1,26,12
2001,April,19,Thursday,NBC,2,27,12
2001,April,20,Friday,ABC,1,19,12
2001,April,20,Friday,ABC,2,16,12
2001,April,20,Friday,CBS,1,19,12
2001,April,20,Friday,CBS,2,99,12
2001,April,20,Friday,NBC,1,19,12
2001,April,20,Friday,NBC,2,99,12
2001,April,23,Monday,ABC,1,19,12
2001,April,23,Monday,ABC,2,8,12
2001,April,23,Monday,CBS,1,19,12
2001,April,23,Monday,CBS,2,16,12
2001,April,23,Monday,NBC,1,19,12
2001,April,23,Monday,NBC,2,16,12
2001,April,24,Tuesday,ABC,1,26,12
2001,April,24,Tuesday,ABC,2,20,12
2001,April,24,Tuesday,CBS,1,12,12
2001,April,24,Tuesday,CBS,2,12,12
2001,April,24,Tuesday,NBC,1,19,12
2001,April,24,Tuesday,NBC,2,26,12
2001,April,25,Wednesday,ABC,1,8,12
2001,April,25,Wednesday,ABC,2,19,12
2001,April,25,Wednesday,CBS,1,16,12
2001,April,25,Wednesday,CBS,2,19,12
2001,April,25,Wednesday,NBC,1,16,12
2001,April,25,Wednesday,NBC,2,19,12
2001,April,26,Thursday,ABC,1,16,12
2001,April,26,Thursday,ABC,2,32,12
2001,April,26,Thursday,CBS,1,16,12
2001,April,26,Thursday,CBS,2,16,12
2001,April,26,Thursday,NBC,1,16,12
2001,April,26,Thursday,NBC,2,19,12
2001,April,27,Friday,ABC,1,1,12
2001,April,27,Friday,ABC,2,17,12
2001,April,27,Friday,CBS,1,1,12
2001,April,27,Friday,CBS,2,28,12
2001,April,27,Friday,NBC,1,1,12
2001,April,27,Friday,NBC,2,8,12
2001,April,30,Monday,ABC,1,8,12
2001,April,30,Monday,ABC,2,33,12
2001,April,30,Monday,CBS,1,8,12
2001,April,30,Monday,CBS,2,1,12
2001,April,30,Monday,NBC,1,17,12
2001,April,30,Monday,NBC,2,16,12
2001,May,1,Tuesday,ABC,1,16,12
2001,May,1,Tuesday,ABC,2,1,12
2001,May,1,Tuesday,CBS,1,1,12
2001,May,1,Tuesday,CBS,2,16,12
2001,May,1,Tuesday,NBC,1,1,12
2001,May,1,Tuesday,NBC,2,16,12
2001,May,2,Wednesday,ABC,1,12,12
2001,May,2,Wednesday,ABC,2,13,12
2001,May,2,Wednesday,CBS,1,13,12
2001,May,2,Wednesday,CBS,2,13,12
2001,May,2,Wednesday,NBC,1,13,12
2001,May,2,Wednesday,NBC,2,13,12
2001,May,3,Thursday,ABC,1,8,12
2001,May,3,Thursday,ABC,2,31,12
2001,May,3,Thursday,CBS,1,8,12
2001,May,3,Thursday,CBS,2,8,12
2001,May,3,Thursday,NBC,1,8,12
2001,May,3,Thursday,NBC,2,8,12
2001,May,4,Friday,ABC,1,5,12
2001,May,4,Friday,ABC,2,12,12
2001,May,4,Friday,CBS,1,5,12
2001,May,4,Friday,CBS,2,28,12
2001,May,4,Friday,NBC,1,5,12
2001,May,4,Friday,NBC,2,12,12
2001,May,7,Monday,ABC,1,8,12
2001,May,7,Monday,ABC,2,12,12
2001,May,7,Monday,CBS,1,8,12
2001,May,7,Monday,CBS,2,8,12
2001,May,7,Monday,NBC,1,8,12
2001,May,7,Monday,NBC,2,10,12
2001,May,8,Tuesday,ABC,1,20,12
2001,May,8,Tuesday,ABC,2,13,12
2001,May,8,Tuesday,CBS,1,8,12
2001,May,8,Tuesday,CBS,2,1,12
2001,May,8,Tuesday,NBC,1,8,12
2001,May,8,Tuesday,NBC,2,16,12
2001,May,9,Wednesday,ABC,1,8,12
2001,May,9,Wednesday,ABC,2,1,12
2001,May,9,Wednesday,CBS,1,1,12
2001,May,9,Wednesday,CBS,2,8,12
2001,May,9,Wednesday,NBC,1,8,12
2001,May,9,Wednesday,NBC,2,8,12
2001,May,10,Thursday,ABC,1,3,12
2001,May,10,Thursday,ABC,2,12,12
2001,May,10,Thursday,CBS,1,12,12
2001,May,10,Thursday,CBS,2,8,12
2001,May,10,Thursday,NBC,1,3,12
2001,May,10,Thursday,NBC,2,3,12
2001,May,11,Friday,ABC,1,12,12
2001,May,11,Friday,ABC,2,20,12
2001,May,11,Friday,CBS,1,12,12
2001,May,11,Friday,CBS,2,1,12
2001,May,11,Friday,NBC,1,12,12
2001,May,11,Friday,NBC,2,8,12
2001,May,14,Monday,ABC,1,3,12
2001,May,14,Monday,ABC,2,12,12
2001,May,14,Monday,CBS,1,8,12
2001,May,14,Monday,CBS,2,8,12
2001,May,14,Monday,NBC,1,3,12
2001,May,14,Monday,NBC,2,12,12
2001,May,15,Tuesday,ABC,1,1,12
2001,May,15,Tuesday,ABC,2,10,12
2001,May,15,Tuesday,CBS,1,8,12
2001,May,15,Tuesday,CBS,2,1,12
2001,May,15,Tuesday,NBC,1,1,12
2001,May,15,Tuesday,NBC,2,1,12
2001,May,16,Wednesday,ABC,1,12,12
2001,May,16,Wednesday,ABC,2,8,12
2001,May,16,Wednesday,CBS,1,12,12
2001,May,16,Wednesday,CBS,2,12,12
2001,May,16,Wednesday,NBC,1,1,12
2001,May,16,Wednesday,NBC,2,8,12
2001,May,17,Thursday,ABC,1,8,12
2001,May,17,Thursday,ABC,2,2,12
2001,May,17,Thursday,CBS,1,8,12
2001,May,17,Thursday,CBS,2,1,12
2001,May,17,Thursday,NBC,1,8,12
2001,May,17,Thursday,NBC,2,2,12
2001,May,18,Friday,ABC,1,19,12
2001,May,18,Friday,ABC,2,19,12
2001,May,18,Friday,CBS,1,19,12
2001,May,18,Friday,CBS,2,16,12
2001,May,18,Friday,NBC,1,19,12
2001,May,18,Friday,NBC,2,8,12
2001,May,21,Monday,ABC,1,15,12
2001,May,21,Monday,ABC,2,19,12
2001,May,21,Monday,CBS,1,15,12
2001,May,21,Monday,CBS,2,15,12
2001,May,21,Monday,NBC,1,19,12
2001,May,21,Monday,NBC,2,15,12
2001,May,22,Tuesday,ABC,1,15,12
2001,May,22,Tuesday,ABC,2,20,12
2001,May,22,Tuesday,CBS,1,15,12
2001,May,22,Tuesday,CBS,2,3,12
2001,May,22,Tuesday,NBC,1,15,12
2001,May,22,Tuesday,NBC,2,31,12
2001,May,23,Wednesday,ABC,1,20,12
2001,May,23,Wednesday,ABC,2,1,12
2001,May,23,Wednesday,CBS,1,20,12
2001,May,23,Wednesday,CBS,2,15,12
2001,May,23,Wednesday,NBC,1,20,12
2001,May,23,Wednesday,NBC,2,8,12
2001,May,24,Thursday,ABC,1,20,12
2001,May,24,Thursday,ABC,2,19,12
2001,May,24,Thursday,CBS,1,20,12
2001,May,24,Thursday,CBS,2,12,12
2001,May,24,Thursday,NBC,1,20,12
2001,May,24,Thursday,NBC,2,1,12
2001,May,25,Friday,ABC,1,19,12
