Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
1968,December,23,Monday,CBS,1,17,684
1968,December,23,Monday,CBS,2,19,684
1968,December,23,Monday,NBC,1,17,684
1968,December,23,Monday,NBC,2,19,684
1968,December,24,Tuesday,ABC,1,17,684
1968,December,24,Tuesday,ABC,2,99,684
1968,December,24,Tuesday,CBS,1,17,684
1968,December,24,Tuesday,CBS,2,19,684
1968,December,24,Tuesday,NBC,1,19,684
1968,December,24,Tuesday,NBC,2,17,684
1968,December,25,Wednesday,ABC,1,17,684
1968,December,25,Wednesday,ABC,2,19,684
1968,December,25,Wednesday,CBS,1,17,684
1968,December,25,Wednesday,CBS,2,99,684
1968,December,25,Wednesday,NBC,1,17,684
1968,December,25,Wednesday,NBC,2,19,684
1968,December,26,Thursday,ABC,1,,684
1968,December,26,Thursday,ABC,2,,684
1968,December,26,Thursday,CBS,1,17,684
1968,December,26,Thursday,CBS,2,19,684
1968,December,26,Thursday,NBC,1,17,684
1968,December,26,Thursday,NBC,2,20,684
1968,December,27,Friday,ABC,1,17,684
1968,December,27,Friday,ABC,2,19,684
